time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-09 00:00:00+00:00,3,3,0,0
2025-12-10 00:00:00+00:00,4,4,9,2
2025-12-11 00:00:00+00:00,11,7,0,0
2025-12-12 00:00:00+00:00,3,3,0,0
2025-12-13 00:00:00+00:00,8,4,8,1
2025-12-14 00:00:00+00:00,8,4,4,1
2025-12-15 00:00:00+00:00,5,5,9,1
2025-12-16 00:00:00+00:00,9,5,41,3
2025-12-17 00:00:00+00:00,16,6,7,1
2025-12-18 00:00:00+00:00,7,3,0,0
2025-12-19 00:00:00+00:00,14,8,6,3
2025-12-20 00:00:00+00:00,12,4,2,2
2025-12-21 00:00:00+00:00,9,5,0,0
2025-12-22 00:00:00+00:00,4,4,0,0
